ref_name,query_name,seed_name,edit_distance,edit_distance_time
query1+0,query1,alignment,0,0.000420029
query1+10,query1,alignment,10,0.000394051
query1+20,query1,alignment,20,0.000413958
query1+30,query1,alignment,30,0.000500551
query1+40,query1,alignment,40,0.00062801
query1+50,query1,alignment,50,0.000789995
query1+60,query1,alignment,60,0.001094216
query1+70,query1,alignment,70,0.001235923
query1+80,query1,alignment,80,0.001555534
query1+90,query1,alignment,90,0.00183003
query1+100,query1,alignment,100,0.002206047
query1+110,query1,alignment,110,0.002752934
query1+120,query1,alignment,120,0.003073507
query1+130,query1,alignment,130,0.00373454
query1+140,query1,alignment,140,0.004106078
query1+150,query1,alignment,150,0.004828736
query1+160,query1,alignment,160,0.005414487
query1+170,query1,alignment,170,0.005930387
query1+180,query1,alignment,180,0.006776657
query1+190,query1,alignment,190,0.007537207
query1+200,query1,alignment,200,0.008151532
query1+210,query1,alignment,210,0.009069777
query1+220,query1,alignment,220,0.009715521
query1+230,query1,alignment,230,0.010565138
query1+240,query1,alignment,240,0.011331638
query1+250,query1,alignment,250,0.012371483
query1+260,query1,alignment,260,0.013431897
query1+270,query1,alignment,270,0.014371913
query1+280,query1,alignment,280,0.015305458
query1+290,query1,alignment,290,0.01638664
query1+300,query1,alignment,300,0.017410053
query1+310,query1,alignment,310,0.018680862
query1+320,query1,alignment,320,0.019950088
query1+330,query1,alignment,330,0.021064052
query1+340,query1,alignment,340,0.02246815
query1+350,query1,alignment,350,0.023764788
query1+360,query1,alignment,360,0.025386355
query1+370,query1,alignment,370,0.02703274
query1+380,query1,alignment,380,0.029121145
query1+390,query1,alignment,390,0.029587061
query1+400,query1,alignment,400,0.0307301
query1+410,query1,alignment,410,0.032149287
query1+420,query1,alignment,420,0.033584124
query1+430,query1,alignment,430,0.03503446
query1+440,query1,alignment,440,0.036659484
query1+450,query1,alignment,450,0.038786823
query1+460,query1,alignment,460,0.040130739
query1+470,query1,alignment,470,0.042137941
query1+480,query1,alignment,480,0.043475435
query1+490,query1,alignment,490,0.064366602
query1+500,query1,alignment,500,0.050163316
query1+510,query1,alignment,510,0.051291085
query1+520,query1,alignment,520,0.052816032
query1+530,query1,alignment,530,0.056081599
query1+540,query1,alignment,540,0.056251259
query1+550,query1,alignment,550,0.058200042
query1+560,query1,alignment,560,0.059357788
query1+570,query1,alignment,570,0.061054507
query1+580,query1,alignment,580,0.062456291
query1+590,query1,alignment,590,0.065047993
query1+600,query1,alignment,600,0.067430461
query1+610,query1,alignment,610,0.06962755
