ref_name,query_name,seed_name,estimation,ref_time,query_time,edit_distance,edit_distance_time
query1+0,query1,(2.7.1.25)-randstrobemers,1,0.00699935,0.007032134,0,0.000036281
query1+10,query1,(2.7.1.25)-randstrobemers,0.9066249347939489,0.007169032,0.007032134,10,0.000057429
query1+20,query1,(2.7.1.25)-randstrobemers,0.8309785452642595,0.007156874,0.007032134,20,0.00011591
query1+30,query1,(2.7.1.25)-randstrobemers,0.767697954902989,0.007126456,0.007032134,30,0.000217578
query1+40,query1,(2.7.1.25)-randstrobemers,0.7372836916622968,0.007253942,0.007032134,40,0.000317513
query1+50,query1,(2.7.1.25)-randstrobemers,0.6980146290491118,0.007004883,0.007032134,50,0.000477052
query1+60,query1,(2.7.1.25)-randstrobemers,0.6596968112911658,0.007149237,0.007032134,60,0.00066784
query1+70,query1,(2.7.1.25)-randstrobemers,0.6248693834900731,0.006946612,0.007032134,70,0.000895581
query1+80,query1,(2.7.1.25)-randstrobemers,0.6050156739811913,0.007127168,0.007032134,80,0.001176903
query1+90,query1,(2.7.1.25)-randstrobemers,0.5794979079497908,0.006940839,0.007032134,90,0.00143836
query1+100,query1,(2.7.1.25)-randstrobemers,0.5552645364064955,0.007169051,0.007032134,100,0.001809003
query1+110,query1,(2.7.1.25)-randstrobemers,0.521193092621664,0.006929363,0.007032134,110,0.002222431
query1+120,query1,(2.7.1.25)-randstrobemers,0.5340314136125655,0.007072435,0.007032134,120,0.002582781
query1+130,query1,(2.7.1.25)-randstrobemers,0.5107498689040377,0.007160963,0.007032134,130,0.003026758
query1+140,query1,(2.7.1.25)-randstrobemers,0.5131164742917104,0.006933592,0.007032134,140,0.00357542
query1+150,query1,(2.7.1.25)-randstrobemers,0.5036726128016789,0.007059185,0.007032134,150,0.003959493
query1+160,query1,(2.7.1.25)-randstrobemers,0.5042016806722689,0.006968181,0.007032134,160,0.004574915
query1+170,query1,(2.7.1.25)-randstrobemers,0.5049973698053656,0.006870852,0.007032134,170,0.005175705
query1+180,query1,(2.7.1.25)-randstrobemers,0.5044760400210637,0.006903495,0.007032134,180,0.005648457
query1+190,query1,(2.7.1.25)-randstrobemers,0.4870848708487085,0.006939015,0.007032134,190,0.006295089
query1+200,query1,(2.7.1.25)-randstrobemers,0.4775962045334739,0.007015407,0.007032134,200,0.006995572
query1+210,query1,(2.7.1.25)-randstrobemers,0.46835443037974683,0.006912425,0.007032134,210,0.007726875
query1+220,query1,(2.7.1.25)-randstrobemers,0.477643345607575,0.006884372,0.007032134,220,0.00850418
query1+230,query1,(2.7.1.25)-randstrobemers,0.47398843930635837,0.006831012,0.007032134,230,0.009271153
query1+240,query1,(2.7.1.25)-randstrobemers,0.49395691014188126,0.006848091,0.007032134,240,0.010094292
query1+250,query1,(2.7.1.25)-randstrobemers,0.5134139926354551,0.006858303,0.007032134,250,0.011000347
query1+260,query1,(2.7.1.25)-randstrobemers,0.5107951553449184,0.006894615,0.007032134,260,0.011756144
query1+270,query1,(2.7.1.25)-randstrobemers,0.49343832020997375,0.00691468,0.007032134,270,0.012738721
query1+280,query1,(2.7.1.25)-randstrobemers,0.48770277341705914,0.006910451,0.007032134,280,0.013745492
query1+290,query1,(2.7.1.25)-randstrobemers,0.4856096284667713,0.007014054,0.007032134,290,0.014860627
query1+300,query1,(2.7.1.25)-randstrobemers,0.4884937238493724,0.007040363,0.007032134,300,0.015919014
query1+310,query1,(2.7.1.25)-randstrobemers,0.4816753926701571,0.006917036,0.007032134,310,0.016992405
query1+320,query1,(2.7.1.25)-randstrobemers,0.48772845953002614,0.007131587,0.007032134,320,0.018054781
query1+330,query1,(2.7.1.25)-randstrobemers,0.48538622129436326,0.006891849,0.007032134,330,0.019192016
query1+340,query1,(2.7.1.25)-randstrobemers,0.4880083420229406,0.00696801,0.007032134,340,0.020270728
query1+350,query1,(2.7.1.25)-randstrobemers,0.4763390535621425,0.007091708,0.007032134,350,0.021643641
query1+360,query1,(2.7.1.25)-randstrobemers,0.5031055900621118,0.007050596,0.007032134,360,0.022914135
query1+370,query1,(2.7.1.25)-randstrobemers,0.4652128764278297,0.00703009,0.007032134,370,0.024350221
query1+380,query1,(2.7.1.25)-randstrobemers,0.4953173777315297,0.006988988,0.007032134,380,0.025510727
query1+390,query1,(2.7.1.25)-randstrobemers,0.4935064935064935,0.006986121,0.007032134,390,0.026858955
query1+400,query1,(2.7.1.25)-randstrobemers,0.49662337662337663,0.006984708,0.007032134,400,0.028364807
query1+410,query1,(2.7.1.25)-randstrobemers,0.4490429384376617,0.00711952,0.007032134,410,0.0296038
query1+420,query1,(2.7.1.25)-randstrobemers,0.4668737060041408,0.007246556,0.007032134,420,0.0312023
query1+430,query1,(2.7.1.25)-randstrobemers,0.46473029045643155,0.007026411,0.007032134,430,0.032450223
query1+440,query1,(2.7.1.25)-randstrobemers,0.4694300518134715,0.007035171,0.007032134,440,0.034651938
query1+450,query1,(2.7.1.25)-randstrobemers,0.47979274611398964,0.007176518,0.007032134,450,0.035752289
query1+460,query1,(2.7.1.25)-randstrobemers,0.5117004680187207,0.007063414,0.007032134,460,0.037502481
query1+470,query1,(2.7.1.25)-randstrobemers,0.4989561586638831,0.006782874,0.007032134,470,0.037746869
query1+480,query1,(2.7.1.25)-randstrobemers,0.5133858267716536,0.006851268,0.007032134,480,0.039765964
query1+490,query1,(2.7.1.25)-randstrobemers,0.48533333333333334,0.006684764,0.007032134,490,0.04183439
