ref_name,query_name,seed_name,estimation,ref_time,query_time,edit_distance,edit_distance_time
query6+0,query6,(2.7.1.25)-randstrobemers,1,0.007066762,0.007175175,0,0.000030559
query6+10,query6,(2.7.1.25)-randstrobemers,0.8981288981288982,0.007197055,0.007175175,10,0.000051345
query6+20,query6,(2.7.1.25)-randstrobemers,0.8185127405096204,0.007127779,0.007175175,20,0.000100957
query6+30,query6,(2.7.1.25)-randstrobemers,0.7513007284079084,0.007113266,0.007175175,30,0.000195058
query6+40,query6,(2.7.1.25)-randstrobemers,0.7093083723348934,0.007186411,0.007175175,40,0.000318275
query6+50,query6,(2.7.1.25)-randstrobemers,0.6697819314641744,0.007355921,0.007175175,50,0.000497117
query6+60,query6,(2.7.1.25)-randstrobemers,0.6549222797927461,0.007357926,0.007175175,60,0.000687404
query6+70,query6,(2.7.1.25)-randstrobemers,0.6059036768513724,0.007347874,0.007175175,70,0.000912049
query6+80,query6,(2.7.1.25)-randstrobemers,0.5833763551884358,0.007170846,0.007175175,80,0.001164225
query6+90,query6,(2.7.1.25)-randstrobemers,0.5693656523981434,0.007289462,0.007175175,90,0.001489235
query6+100,query6,(2.7.1.25)-randstrobemers,0.5536082474226804,0.007207568,0.007175175,100,0.001793237
query6+110,query6,(2.7.1.25)-randstrobemers,0.5303810504634398,0.007298933,0.007175175,110,0.002171828
query6+120,query6,(2.7.1.25)-randstrobemers,0.5244215938303342,0.007295005,0.007175175,120,0.002567256
query6+130,query6,(2.7.1.25)-randstrobemers,0.5342254246011323,0.007142903,0.007175175,130,0.003001381
query6+140,query6,(2.7.1.25)-randstrobemers,0.5318930041152263,0.009945177,0.007175175,140,0.006553259
query6+150,query6,(2.7.1.25)-randstrobemers,0.5046248715313464,0.012112014,0.007175175,150,0.005321542
query6+160,query6,(2.7.1.25)-randstrobemers,0.5161621344279117,0.011072439,0.007175175,160,0.00588584
query6+170,query6,(2.7.1.25)-randstrobemers,0.5012840267077555,0.009477356,0.007175175,170,0.006121879
query6+180,query6,(2.7.1.25)-randstrobemers,0.4989733059548255,0.008077051,0.007175175,180,0.006754731
query6+190,query6,(2.7.1.25)-randstrobemers,0.4874294510005131,0.007775143,0.007175175,190,0.007255757
query6+200,query6,(2.7.1.25)-randstrobemers,0.5074168797953964,0.007566845,0.007175175,200,0.007525472
query6+210,query6,(2.7.1.25)-randstrobemers,0.510986203372509,0.007353055,0.007175175,210,0.008815299
query6+220,query6,(2.7.1.25)-randstrobemers,0.4785714285714286,0.007607557,0.007175175,220,0.009484522
query6+230,query6,(2.7.1.25)-randstrobemers,0.4885262621111678,0.007708914,0.007175175,230,0.00954129
query6+240,query6,(2.7.1.25)-randstrobemers,0.4701682814890362,0.007673575,0.007175175,240,0.010152473
query6+250,query6,(2.7.1.25)-randstrobemers,0.44342037890424985,0.007641673,0.007175175,250,0.011141113
query6+260,query6,(2.7.1.25)-randstrobemers,0.4305484366991287,0.007724159,0.007175175,260,0.0122617
query6+270,query6,(2.7.1.25)-randstrobemers,0.441025641025641,0.00731963,0.007175175,270,0.01310338
query6+280,query6,(2.7.1.25)-randstrobemers,0.44125192406362235,0.007157406,0.007175175,280,0.014027416
query6+290,query6,(2.7.1.25)-randstrobemers,0.4564994882292733,0.007610193,0.007175175,290,0.014996772
query6+300,query6,(2.7.1.25)-randstrobemers,0.4649257552483359,0.007270128,0.007175175,300,0.015953642
query6+310,query6,(2.7.1.25)-randstrobemers,0.45737621235324144,0.007524781,0.007175175,310,0.017229607
query6+320,query6,(2.7.1.25)-randstrobemers,0.444672131147541,0.007308796,0.007175175,320,0.018701554
query6+330,query6,(2.7.1.25)-randstrobemers,0.44421699078812693,0.007833264,0.007175175,330,0.019625138
query6+340,query6,(2.7.1.25)-randstrobemers,0.4564994882292733,0.007496918,0.007175175,340,0.020653868
query6+350,query6,(2.7.1.25)-randstrobemers,0.4777947932618683,0.007261329,0.007175175,350,0.021933503
query6+360,query6,(2.7.1.25)-randstrobemers,0.4729315628192033,0.007272423,0.007175175,360,0.023251774
query6+370,query6,(2.7.1.25)-randstrobemers,0.46992864424057085,0.007355631,0.007175175,370,0.024373703
query6+380,query6,(2.7.1.25)-randstrobemers,0.47202441505595116,0.007442747,0.007175175,380,0.02579729
query6+390,query6,(2.7.1.25)-randstrobemers,0.49795918367346936,0.007365483,0.007175175,390,0.027705857
query6+400,query6,(2.7.1.25)-randstrobemers,0.49948822927328557,0.00733303,0.007175175,400,0.029130457
query6+410,query6,(2.7.1.25)-randstrobemers,0.4797539723218862,0.007222392,0.007175175,410,0.030395328
query6+420,query6,(2.7.1.25)-randstrobemers,0.4639754726622381,0.007544906,0.007175175,420,0.031529034
query6+430,query6,(2.7.1.25)-randstrobemers,0.47784004075394804,0.007674177,0.007175175,430,0.032879127
query6+440,query6,(2.7.1.25)-randstrobemers,0.4748858447488584,0.007477635,0.007175175,440,0.034671502
query6+450,query6,(2.7.1.25)-randstrobemers,0.481500253421186,0.007468083,0.007175175,450,0.03630928
query6+460,query6,(2.7.1.25)-randstrobemers,0.46317927882173693,0.007352364,0.007175175,460,0.037313256
query6+470,query6,(2.7.1.25)-randstrobemers,0.4720812182741117,0.007240162,0.007175175,470,0.039462282
query6+480,query6,(2.7.1.25)-randstrobemers,0.45138178096212894,0.007060077,0.007175175,480,0.040526523
query6+490,query6,(2.7.1.25)-randstrobemers,0.45585215605749485,0.00693704,0.007175175,490,0.041999992
