ref_name,query_name,seed_name,estimation,ref_time,query_time,edit_distance,edit_distance_time
query5+0,query5,(2.7.1.25)-randstrobemers,1,0.007164291,0.007049353,0,0.000030909
query5+10,query5,(2.7.1.25)-randstrobemers,0.9210799584631361,0.007036404,0.007049353,10,0.000045392
query5+20,query5,(2.7.1.25)-randstrobemers,0.826222684703434,0.007049223,0.007049353,20,0.000105507
query5+30,query5,(2.7.1.25)-randstrobemers,0.7631441957313899,0.007200331,0.007049353,30,0.000206764
query5+40,query5,(2.7.1.25)-randstrobemers,0.7338877338877339,0.007351692,0.007049353,40,0.00032041
query5+50,query5,(2.7.1.25)-randstrobemers,0.6822429906542056,0.007211718,0.007049353,50,0.000485851
query5+60,query5,(2.7.1.25)-randstrobemers,0.6368831168831168,0.007330966,0.007049353,60,0.000690992
query5+70,query5,(2.7.1.25)-randstrobemers,0.619146722164412,0.007236603,0.007049353,70,0.000957981
query5+80,query5,(2.7.1.25)-randstrobemers,0.6048932847475273,0.007260036,0.007049353,80,0.001173726
query5+90,query5,(2.7.1.25)-randstrobemers,0.5922836287799792,0.00719924,0.007049353,90,0.001501673
query5+100,query5,(2.7.1.25)-randstrobemers,0.5627615062761506,0.007185167,0.007049353,100,0.001817252
query5+110,query5,(2.7.1.25)-randstrobemers,0.5596234309623431,0.007165123,0.007049353,110,0.002217651
query5+120,query5,(2.7.1.25)-randstrobemers,0.5382198952879581,0.007147052,0.007049353,120,0.002655053
query5+130,query5,(2.7.1.25)-randstrobemers,0.5256008359456635,0.007283349,0.007049353,130,0.003011264
query5+140,query5,(2.7.1.25)-randstrobemers,0.5075718015665797,0.007093351,0.007049353,140,0.003520887
query5+150,query5,(2.7.1.25)-randstrobemers,0.49320794148380354,0.007084532,0.007049353,150,0.004099998
query5+160,query5,(2.7.1.25)-randstrobemers,0.49581589958158995,0.007190991,0.007049353,160,0.004601415
query5+170,query5,(2.7.1.25)-randstrobemers,0.5117493472584856,0.007221159,0.007049353,170,0.005177569
query5+180,query5,(2.7.1.25)-randstrobemers,0.5023449713392392,0.007237896,0.007049353,180,0.005803305
query5+190,query5,(2.7.1.25)-randstrobemers,0.5033871808233454,0.007054876,0.007049353,190,0.006517518
query5+200,query5,(2.7.1.25)-randstrobemers,0.49713392391870764,0.007109267,0.007049353,200,0.007204031
query5+210,query5,(2.7.1.25)-randstrobemers,0.5,0.007052651,0.007049353,210,0.007811444
query5+220,query5,(2.7.1.25)-randstrobemers,0.4921793534932221,0.007077786,0.007049353,220,0.008578738
query5+230,query5,(2.7.1.25)-randstrobemers,0.48142333856619574,0.006975116,0.007049353,230,0.009312586
query5+240,query5,(2.7.1.25)-randstrobemers,0.4624277456647399,0.006864808,0.007049353,240,0.010167817
query5+250,query5,(2.7.1.25)-randstrobemers,0.4463157894736842,0.006842568,0.007049353,250,0.011139649
query5+260,query5,(2.7.1.25)-randstrobemers,0.4597580220936349,0.006992505,0.007049353,260,0.012104627
query5+270,query5,(2.7.1.25)-randstrobemers,0.47639034627492133,0.006996584,0.007049353,270,0.013035357
query5+280,query5,(2.7.1.25)-randstrobemers,0.47718930256948083,0.007314238,0.007049353,280,0.014506922
query5+290,query5,(2.7.1.25)-randstrobemers,0.47564169722367733,0.007324642,0.007049353,290,0.015263362
query5+300,query5,(2.7.1.25)-randstrobemers,0.47489539748953974,0.007122658,0.007049353,300,0.015959896
query5+310,query5,(2.7.1.25)-randstrobemers,0.47464715107161526,0.00706579,0.007049353,310,0.016989839
query5+320,query5,(2.7.1.25)-randstrobemers,0.4751958224543081,0.007161114,0.007049353,320,0.018282042
query5+330,query5,(2.7.1.25)-randstrobemers,0.4751958224543081,0.00710643,0.007049353,330,0.019348126
query5+340,query5,(2.7.1.25)-randstrobemers,0.4604090194022024,0.00711491,0.007049353,340,0.020515588
query5+350,query5,(2.7.1.25)-randstrobemers,0.4466631634261692,0.006944658,0.007049353,350,0.021914279
query5+360,query5,(2.7.1.25)-randstrobemers,0.4551651809124279,0.00694589,0.007049353,360,0.023119887
query5+370,query5,(2.7.1.25)-randstrobemers,0.4546883184913567,0.007126767,0.007049353,370,0.024471874
query5+380,query5,(2.7.1.25)-randstrobemers,0.44362486828240255,0.006918249,0.007049353,380,0.02540989
query5+390,query5,(2.7.1.25)-randstrobemers,0.4351949420442571,0.00699,0.007049353,390,0.026826142
query5+400,query5,(2.7.1.25)-randstrobemers,0.4513413992635455,0.006827685,0.007049353,400,0.028203364
query5+410,query5,(2.7.1.25)-randstrobemers,0.4570826750921538,0.006898324,0.007049353,410,0.030383761
query5+420,query5,(2.7.1.25)-randstrobemers,0.4175940646528882,0.006779346,0.007049353,420,0.031569515
query5+430,query5,(2.7.1.25)-randstrobemers,0.46939861628525814,0.006863144,0.007049353,430,0.033017487
query5+440,query5,(2.7.1.25)-randstrobemers,0.47705442902881534,0.006809253,0.007049353,440,0.034366597
query5+450,query5,(2.7.1.25)-randstrobemers,0.47096430474160894,0.006791704,0.007049353,450,0.036050199
query5+460,query5,(2.7.1.25)-randstrobemers,0.44930629669156885,0.0067142,0.007049353,460,0.037746679
query5+470,query5,(2.7.1.25)-randstrobemers,0.4281115879828326,0.006644654,0.007049353,470,0.039235352
query5+480,query5,(2.7.1.25)-randstrobemers,0.49732620320855614,0.006806417,0.007049353,480,0.041180211
query5+490,query5,(2.7.1.25)-randstrobemers,0.48796147672552165,0.006797478,0.007049353,490,0.041924222
