seed_name,query_name,ref_name,estimation,query_time,ref_time
7-mers,query1 | len_10000 ,query1+270 | len_10002 +270 ,0.11755877938969485,0.000316768,0.000026669
7-mers,query1 | len_10000 ,query1+275 | len_9985 +275 ,0.02813798628148,0.000316768,0.000027672
7-mers,query1 | len_10000 ,query1+280 | len_10013 +280 ,0.023098845057747112,0.000316768,0.000037008
7-mers,query1 | len_10000 ,query1+285 | len_9996 +285 ,0.11208967173738991,0.000316768,0.000033853
7-mers,query1 | len_10000 ,query1+290 | len_10017 +290 ,0.04818795301174706,0.000316768,0.000029325
7-mers,query1 | len_10000 ,query1+295 | len_10006 +295 ,0,0.000316768,0.000032871
7-mers,query1 | len_10000 ,query1+300 | len_9998 +300 ,0.0204142900030021,0.000316768,0.000033843
7-mers,query1 | len_10000 ,query1+305 | len_10000 +305 ,0.048028817290374226,0.000316768,0.000031108
7-mers,query1 | len_10000 ,query1+310 | len_9997 +310 ,0.0642481861396047,0.000316768,0.000024395
7-mers,query1 | len_10000 ,query1+315 | len_10000 +315 ,0.03502101260756454,0.000316768,0.000024616
7-mers,query1 | len_10000 ,query1+320 | len_9973 +320 ,0.018135363959721457,0.000316768,0.000025087
7-mers,query1 | len_10000 ,query1+325 | len_9995 +325 ,0.08947605464644948,0.000316768,0.000025397
7-mers,query1 | len_10000 ,query1+330 | len_10014 +330 ,0.026297370262973702,0.000316768,0.000024505
7-mers,query1 | len_10000 ,query1+335 | len_10005 +335 ,0.02700945330865803,0.000316768,0.000025788
7-mers,query1 | len_10000 ,query1+340 | len_9993 +340 ,0.04354136429608128,0.000316768,0.000024796
7-mers,query1 | len_10000 ,query1+345 | len_9992 +345 ,0.05105105105105105,0.000316768,0.000024605
7-mers,query1 | len_10000 ,query1+350 | len_9976 +350 ,0.07012622720897616,0.000316768,0.000024255
7-mers,query1 | len_10000 ,query1+355 | len_10010 +355 ,0.013701370137013702,0.000316768,0.000024856
7-mers,query1 | len_10000 ,query1+360 | len_10001 +360 ,0.0315173345339937,0.000316768,0.000025177
7-mers,query1 | len_10000 ,query1+365 | len_10004 +365 ,0.06282513005202081,0.000316768,0.000025306
7-mers,query1 | len_10000 ,query1+370 | len_10016 +370 ,0.014197160567886422,0.000316768,0.000025678
7-mers,query1 | len_10000 ,query1+375 | len_9967 +375 ,0.015735404660486094,0.000316768,0.000025889
7-mers,query1 | len_10000 ,query1+380 | len_10009 +380 ,0.021503225483822573,0.000316768,0.00002699
7-mers,query1 | len_10000 ,query1+385 | len_9983 +385 ,0.022732962796054277,0.000316768,0.000029445
7-mers,query1 | len_10000 ,query1+390 | len_10018 +390 ,0.004698590422873138,0.000316768,0.000028623
7-mers,query1 | len_10000 ,query1+395 | len_10017 +395 ,0.008297925518620346,0.000316768,0.000028403
7-mers,query1 | len_10000 ,query1+400 | len_9987 +400 ,0.015018773466833541,0.000316768,0.000027411
7-mers,query1 | len_10000 ,query1+405 | len_10022 +405 ,0.025487256371814093,0.000316768,0.000026589
7-mers,query1 | len_10000 ,query1+410 | len_9986 +410 ,0.023630719935916693,0.000316768,0.00002665
7-mers,query1 | len_10000 ,query1+415 | len_10003 +415 ,0.05082287029163123,0.000316768,0.000026499
7-mers,query1 | len_10000 ,query1+420 | len_10024 +420 ,0.006496102338596842,0.000316768,0.00002671
7-mers,query1 | len_10000 ,query1+425 | len_9981 +425 ,0.06980820271420703,0.000316768,0.000026389
7-mers,query1 | len_10000 ,query1+430 | len_9990 +430 ,0.01721894083491841,0.000316768,0.000026178
7-mers,query1 | len_10000 ,query1+435 | len_10031 +435 ,0.0053948748688745695,0.000316768,0.000029455
7-mers,query1 | len_10000 ,query1+440 | len_10019 +440 ,0.028689958514519918,0.000316768,0.000029625
7-mers,query1 | len_10000 ,query1+445 | len_10009 +445 ,0.03590538580787118,0.000316768,0.000028333
7-mers,query1 | len_10000 ,query1+450 | len_10031 +450 ,0.006393925770518008,0.000316768,0.000029023
7-mers,query1 | len_10000 ,query1+455 | len_10006 +455 ,0.017605281584475344,0.000316768,0.000028703
7-mers,query1 | len_10000 ,query1+460 | len_9973 +460 ,0.049195932067531686,0.000316768,0.000028884
7-mers,query1 | len_10000 ,query1+465 | len_10011 +465 ,0.028601430071503574,0.000316768,0.000030707
7-mers,query1 | len_10000 ,query1+470 | len_9977 +470 ,0.007513148009015778,0.000316768,0.000030627
7-mers,query1 | len_10000 ,query1+475 | len_9999 +475 ,0.046129984489918445,0.000316768,0.000031398
7-mers,query1 | len_10000 ,query1+480 | len_10018 +480 ,0.057182845146456066,0.000316768,0.000031869
7-mers,query1 | len_10000 ,query1+485 | len_10018 +485 ,0.016694991502549234,0.000316768,0.000034424
7-mers,query1 | len_10000 ,query1+490 | len_9999 +490 ,0.029218992345024265,0.000316768,0.000032009
7-mers,query1 | len_10000 ,query1+495 | len_10009 +495 ,0.04490673601040156,0.000316768,0.00003235
7-mers,query1 | len_10000 ,query1+500 | len_9957 +500 ,0.013938330408623715,0.000316768,0.000034765
7-mers,query1 | len_10000 ,query1+505 | len_9976 +505 ,0.026447605690242435,0.000316768,0.00003215
7-mers,query1 | len_10000 ,query1+510 | len_10012 +510 ,0.0043,0.000316768,0.000031138
7-mers,query1 | len_10000 ,query1+515 | len_10032 +515 ,0.004695304695304696,0.000316768,0.000032641
7-mers,query1 | len_10000 ,query1+520 | len_10025 +520 ,0.041073302353470245,0.000316768,0.000033863
7-mers,query1 | len_10000 ,query1+525 | len_9953 +525 ,0.024973672333383483,0.000316768,0.000031439
7-mers,query1 | len_10000 ,query1+530 | len_9990 +530 ,0.011913104414856343,0.000316768,0.000031479
7-mers,query1 | len_10000 ,query1+535 | len_9996 +535 ,0.038030424339471576,0.000316768,0.000026479
7-mers,query1 | len_10000 ,query1+540 | len_10005 +540 ,0.02901015355374381,0.000316768,0.000027742
7-mers,query1 | len_10000 ,query1+545 | len_9986 +545 ,0.013016921998598177,0.000316768,0.000027421
7-mers,query1 | len_10000 ,query1+550 | len_10005 +550 ,0.021707597659180712,0.000316768,0.00002706
7-mers,query1 | len_10000 ,query1+555 | len_10024 +555 ,0.0033979612232660403,0.000316768,0.000027421
7-mers,query1 | len_10000 ,query1+560 | len_10011 +560 ,0.047402370118505927,0.000316768,0.00002703
7-mers,query1 | len_10000 ,query1+565 | len_9990 +565 ,0.008409250175192713,0.000316768,0.000027161
7-mers,query1 | len_10000 ,query1+570 | len_10013 +570 ,0.047497625118744065,0.000316768,0.000030858
7-mers,query1 | len_10000 ,query1+575 | len_10029 +575 ,0.03776789728730579,0.000316768,0.000028303
7-mers,query1 | len_10000 ,query1+580 | len_9980 +580 ,0.034555288461538464,0.000316768,0.000028253
7-mers,query1 | len_10000 ,query1+585 | len_9990 +585 ,0.008709580538592452,0.000316768,0.000030837
7-mers,query1 | len_10000 ,query1+590 | len_9993 +590 ,0.031730143636454634,0.000316768,0.000030828
7-mers,query1 | len_10000 ,query1+595 | len_10026 +595 ,0.015689017687618666,0.000316768,0.000028743
7-mers,query1 | len_10000 ,query1+600 | len_10021 +600 ,0.021590284372032587,0.000316768,0.000033272
7-mers,query1 | len_10000 ,query1+605 | len_9993 +605 ,0.049947450077573695,0.000316768,0.000028172
7-mers,query1 | len_10000 ,query1+610 | len_9990 +610 ,0.006306937631394534,0.000316768,0.000026629
7-mers,query1 | len_10000 ,query1+615 | len_10031 +615 ,0.017083770418102804,0.000316768,0.000026419
7-mers,query1 | len_10000 ,query1+620 | len_9964 +620 ,0.017742582197273458,0.000316768,0.00002718
7-mers,query1 | len_10000 ,query1+625 | len_10034 +625 ,0.02736989311757067,0.000316768,0.000025127
7-mers,query1 | len_10000 ,query1+630 | len_10019 +630 ,0.001899335232668566,0.000316768,0.000033101
7-mers,query1 | len_10000 ,query1+635 | len_10000 +635 ,0.04452671602961777,0.000316768,0.000026288
7-mers,query1 | len_10000 ,query1+640 | len_9975 +640 ,0.004708711115563793,0.000316768,0.000025237
7-mers,query1 | len_10000 ,query1+645 | len_10003 +645 ,0.015707068180681308,0.000316768,0.000025137
7-mers,query1 | len_10000 ,query1+650 | len_10021 +650 ,0.009295816882402918,0.000316768,0.000024876
7-mers,query1 | len_10000 ,query1+655 | len_9995 +655 ,0.018415653305309514,0.000316768,0.000026429
7-mers,query1 | len_10000 ,query1+660 | len_9968 +660 ,0.007416315894968932,0.000316768,0.000025157
7-mers,query1 | len_10000 ,query1+665 | len_10014 +665 ,0.008999100089991,0.000316768,0.000025067
7-mers,query1 | len_10000 ,query1+670 | len_10013 +670 ,0.008899555022248887,0.000316768,0.000024536
7-mers,query1 | len_10000 ,query1+675 | len_9977 +675 ,0.026245930378161784,0.000316768,0.000025207
7-mers,query1 | len_10000 ,query1+680 | len_9988 +680 ,0.026932318782539048,0.000316768,0.000028153
7-mers,query1 | len_10000 ,query1+685 | len_9986 +685 ,0.016120957244417745,0.000316768,0.000027421
7-mers,query1 | len_10000 ,query1+690 | len_10024 +690 ,0.020187887267639416,0.000316768,0.000027531
7-mers,query1 | len_10000 ,query1+695 | len_10037 +695 ,0.0350561797752809,0.000316768,0.000027671
7-mers,query1 | len_10000 ,query1+700 | len_9964 +700 ,0.007818765036086608,0.000316768,0.000027351
7-mers,query1 | len_10000 ,query1+705 | len_9978 +705 ,0.0020034057898427327,0.000316768,0.000028302
7-mers,query1 | len_10000 ,query1+710 | len_9977 +710 ,0.0344603055346857,0.000316768,0.00002686
7-mers,query1 | len_10000 ,query1+715 | len_10035 +715 ,0.004195175548119662,0.000316768,0.00002679
7-mers,query1 | len_10000 ,query1+720 | len_9982 +720 ,0.0032048072108162243,0.000316768,0.000026469
7-mers,query1 | len_10000 ,query1+725 | len_10009 +725 ,0.02660399059858979,0.000316768,0.000026509
7-mers,query1 | len_10000 ,query1+730 | len_9991 +730 ,0.0139146103408579,0.000316768,0.00002661
