seed_name,query_name,ref_name,estimation,query_time,ref_time
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+220 | len_10003 +220 ,0.1567489114658926,0.032218543,0.032528729
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+225 | len_10007 +225 ,0.012709532149111833,0.032218543,0.032501939
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+230 | len_10015 +230 ,0.0928324913719802,0.032218543,0.032213856
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+235 | len_10002 +235 ,0.03153153153153153,0.032218543,0.032190171
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+240 | len_9999 +240 ,0.031736496971517245,0.032218543,0.032106614
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+245 | len_9983 +245 ,0.0077150443364560894,0.032218543,0.031805356
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+250 | len_9989 +250 ,0.06240296489207192,0.032218543,0.031960999
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+255 | len_9981 +255 ,0.0008016433689062579,0.032218543,0.031916956
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+260 | len_10017 +260 ,0.027306826706676668,0.032218543,0.03201962
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+265 | len_9972 +265 ,0.0009022556390977444,0.032218543,0.032283617
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+270 | len_10002 +270 ,0.0892892892892893,0.032218543,0.032276914
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+275 | len_9985 +275 ,0.021439663377247908,0.032218543,0.032229706
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+280 | len_10013 +280 ,0.018308238707418337,0.032218543,0.032155556
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+285 | len_9996 +285 ,0.08531090417542805,0.032218543,0.032146469
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+290 | len_10017 +290 ,0.03290822705676419,0.032218543,0.032261205
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+295 | len_10006 +295 ,0,0.032218543,0.032146158
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+300 | len_9998 +300 ,0.014317180616740088,0.032218543,0.032113557
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+305 | len_10000 +305 ,0.0350385423966363,0.032218543,0.032286914
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+310 | len_9997 +310 ,0.04225281602002503,0.032218543,0.03215263
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+315 | len_10000 +315 ,0.015617178896786465,0.032218543,0.03203554
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+320 | len_9973 +320 ,0.008721367350007518,0.032218543,0.03183389
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+325 | len_9995 +325 ,0.06048165022780754,0.032218543,0.031571815
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+330 | len_10014 +330 ,0.02040816326530612,0.032218543,0.03169118
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+335 | len_10005 +335 ,0.020217184606915878,0.032218543,0.032076947
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+340 | len_9993 +340 ,0.03224675779880827,0.032218543,0.031641526
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+345 | len_9992 +345 ,0.03465197796695042,0.032218543,0.031672405
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+350 | len_9976 +350 ,0.04450235541746016,0.032218543,0.032033174
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+355 | len_10010 +355 ,0.007404442665599359,0.032218543,0.032157039
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+360 | len_10001 +360 ,0.02442564692927574,0.032218543,0.031876059
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+365 | len_10004 +365 ,0.04273846461815634,0.032218543,0.031764228
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+370 | len_10016 +370 ,0.004401320396118836,0.032218543,0.032196503
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+375 | len_9967 +375 ,0.008222612183504638,0.032218543,0.031723681
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+380 | len_10009 +380 ,0.01671086206033922,0.032218543,0.031771282
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+385 | len_9983 +385 ,0.017634387054756777,0.032218543,0.031885587
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+390 | len_10018 +390 ,0.0011002200440088017,0.032218543,0.031861252
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+395 | len_10017 +395 ,0.005401350337584396,0.032218543,0.031695979
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+400 | len_9987 +400 ,0.006912096168294515,0.032218543,0.031679088
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+405 | len_10022 +405 ,0.017,0.032218543,0.031749361
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+410 | len_9986 +410 ,0.011320376678020437,0.032218543,0.031721578
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+415 | len_10003 +415 ,0.03213052399779791,0.032218543,0.031721367
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+420 | len_10024 +420 ,0.0028997100289971,0.032218543,0.032034608
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+425 | len_9981 +425 ,0.038879703391953506,0.032218543,0.03152118
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+430 | len_9990 +430 ,0.009014423076923076,0.032218543,0.031556426
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+435 | len_10031 +435 ,0.0046978859513219055,0.032218543,0.03164317
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+440 | len_10019 +440 ,0.019402910436565484,0.032218543,0.031798233
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+445 | len_10009 +445 ,0.02201430930104568,0.032218543,0.03191326
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+450 | len_10031 +450 ,0.004797840971562797,0.032218543,0.032145637
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+455 | len_10006 +455 ,0.007906325060048038,0.032218543,0.032032985
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+460 | len_9973 +460 ,0.025261891634504537,0.032218543,0.031902408
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+465 | len_10011 +465 ,0.015608584721596878,0.032218543,0.031772134
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+470 | len_9977 +470 ,0.002906539714357304,0.032218543,0.03164833
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+475 | len_9999 +475 ,0.02232567452570456,0.032218543,0.031877071
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+480 | len_10018 +480 ,0.03250650130026005,0.032218543,0.032147742
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+485 | len_10018 +485 ,0.005601120224044809,0.032218543,0.031829621
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+490 | len_9999 +490 ,0.0074085197977674325,0.032218543,0.031845962
(2.6.5.25)-minstrobemers,query1 | len_10000 ,query1+495 | len_10009 +495 ,0.01941261820183119,0.032218543,0.031877542
