seed_name,query_name,ref_name,estimation,query_time,ref_time
5-mers,query0,query0+0,1,0.000056165,0.000052458
5-mers,query0,query0+10,0.4929718875502008,0.000056165,0.000030217
5-mers,query0,query0+20,0.12738214643931794,0.000056165,0.000029876
5-mers,query0,query0+30,0.16132264529058116,0.000056165,0.000029947
5-mers,query0,query0+40,0.073,0.000056165,0.000030066
5-mers,query0,query0+50,0.07092907092907093,0.000056165,0.000030137
5-mers,query0,query0+60,0.06593406593406594,0.000056165,0.000030287
5-mers,query0,query0+70,0.06783042394014963,0.000056165,0.000030998
5-mers,query0,query0+80,0.022942643391521196,0.000056165,0.000030407
5-mers,query0,query0+90,0.021901443504230962,0.000056165,0.000031619
5-mers,query0,query0+100,0.041916167664670656,0.000056165,0.00003159
5-mers,query0,query0+110,0.04091816367265469,0.000056165,0.000030968
5-mers,query0,query0+120,0.012980529206190713,0.000056165,0.000034504
5-mers,query0,query0+130,0.013965087281795512,0.000056165,0.000031369
5-mers,query0,query0+140,0.03290129611166501,0.000056165,0.000031349
5-mers,query0,query0+150,0.03187250996015936,0.000056165,0.000031489
5-mers,query0,query0+160,0.03890274314214464,0.000056165,0.000031168
5-mers,query0,query0+170,0.014955134596211365,0.000056165,0.000031389
5-mers,query0,query0+180,0.012980529206190713,0.000056165,0.000031289
5-mers,query0,query0+190,0.02301150575287644,0.000056165,0.000031239
5-mers,query0,query0+200,0.014977533699450823,0.000056165,0.000030858
5-mers,query0,query0+210,0.018027040560841263,0.000056165,0.000039504
5-mers,query0,query0+220,0.015022533800701052,0.000056165,0.000030858
5-mers,query0,query0+230,0.02706766917293233,0.000056165,0.000030687
5-mers,query0,query0+240,0.042105263157894736,0.000056165,0.000030578
5-mers,query0,query0+250,0.008028098344204716,0.000056165,0.000031489
5-mers,query0,query0+260,0.0050200803212851405,0.000056165,0.000030827
5-mers,query0,query0+270,0,0.000056165,0.000031138
5-mers,query0,query0+280,0,0.000056165,0.000031388
5-mers,query0,query0+290,0.01597603594608088,0.000056165,0.000031199
5-mers,query0,query0+300,0,0.000056165,0.000031138
5-mers,query0,query0+310,0.001998001998001998,0.000056165,0.000045005
5-mers,query0,query0+320,0,0.000056165,0.000031299
5-mers,query0,query0+330,0.008986520219670495,0.000056165,0.000031419
5-mers,query0,query0+340,0.000999000999000999,0.000056165,0.000031269
5-mers,query0,query0+350,0.015037593984962405,0.000056165,0.000031038
5-mers,query0,query0+360,0.008991008991008992,0.000056165,0.000030988
5-mers,query0,query0+370,0.009995002498750625,0.000056165,0.000030717
5-mers,query0,query0+380,0.009,0.000056165,0.000031389
5-mers,query0,query0+390,0.003992015968063872,0.000056165,0.000031509
5-mers,query0,query0+400,0.006015037593984963,0.000056165,0.000031038
5-mers,query0,query0+410,0.011049723756906077,0.000056165,0.000030688
