ref_name,query_name,seed_name,estimation,ref_time,query_time
query1+0,query1,(2.15.0.30)-randstrobemers,19880,0.080972343,0.083899165
query1+10,query1,(2.15.0.30)-randstrobemers,19188,0.083905867,0.083899165
query1+20,query1,(2.15.0.30)-randstrobemers,18450,0.08215719,0.083899165
query1+30,query1,(2.15.0.30)-randstrobemers,17816,0.082266166,0.083899165
query1+40,query1,(2.15.0.30)-randstrobemers,17168,0.082011617,0.083899165
query1+50,query1,(2.15.0.30)-randstrobemers,16568,0.082010715,0.083899165
query1+60,query1,(2.15.0.30)-randstrobemers,16146,0.082213436,0.083899165
query1+70,query1,(2.15.0.30)-randstrobemers,15398,0.081944681,0.083899165
query1+80,query1,(2.15.0.30)-randstrobemers,14860,0.081876153,0.083899165
query1+90,query1,(2.15.0.30)-randstrobemers,14476,0.08206675,0.083899165
query1+100,query1,(2.15.0.30)-randstrobemers,13912,0.081812923,0.083899165
query1+110,query1,(2.15.0.30)-randstrobemers,13540,0.081990217,0.083899165
query1+120,query1,(2.15.0.30)-randstrobemers,13242,0.082141291,0.083899165
query1+130,query1,(2.15.0.30)-randstrobemers,12746,0.081720099,0.083899165
query1+140,query1,(2.15.0.30)-randstrobemers,12368,0.081523139,0.083899165
query1+150,query1,(2.15.0.30)-randstrobemers,11750,0.081324816,0.083899165
query1+160,query1,(2.15.0.30)-randstrobemers,11308,0.082296502,0.083899165
query1+170,query1,(2.15.0.30)-randstrobemers,11012,0.081757349,0.083899165
query1+180,query1,(2.15.0.30)-randstrobemers,10922,0.080980309,0.083899165
query1+190,query1,(2.15.0.30)-randstrobemers,10304,0.080920316,0.083899165
query1+200,query1,(2.15.0.30)-randstrobemers,9740,0.080956214,0.083899165
query1+210,query1,(2.15.0.30)-randstrobemers,9724,0.081078873,0.083899165
query1+220,query1,(2.15.0.30)-randstrobemers,9360,0.080892213,0.083899165
query1+230,query1,(2.15.0.30)-randstrobemers,9080,0.081051281,0.083899165
query1+240,query1,(2.15.0.30)-randstrobemers,8454,0.080956664,0.083899165
query1+250,query1,(2.15.0.30)-randstrobemers,8638,0.081398625,0.083899165
query1+260,query1,(2.15.0.30)-randstrobemers,8428,0.081429963,0.083899165
query1+270,query1,(2.15.0.30)-randstrobemers,8234,0.081705632,0.083899165
query1+280,query1,(2.15.0.30)-randstrobemers,7204,0.08309815,0.083899165
query1+290,query1,(2.15.0.30)-randstrobemers,7400,0.081415046,0.083899165
query1+300,query1,(2.15.0.30)-randstrobemers,7272,0.081434592,0.083899165
query1+310,query1,(2.15.0.30)-randstrobemers,7160,0.081371283,0.083899165
query1+320,query1,(2.15.0.30)-randstrobemers,6526,0.081547505,0.083899165
query1+330,query1,(2.15.0.30)-randstrobemers,6832,0.08105013,0.083899165
query1+340,query1,(2.15.0.30)-randstrobemers,6244,0.0813431,0.083899165
query1+350,query1,(2.15.0.30)-randstrobemers,5794,0.08132195,0.083899165
query1+360,query1,(2.15.0.30)-randstrobemers,6234,0.081506167,0.083899165
query1+370,query1,(2.15.0.30)-randstrobemers,5198,0.081801101,0.083899165
query1+380,query1,(2.15.0.30)-randstrobemers,5150,0.081425756,0.083899165
query1+390,query1,(2.15.0.30)-randstrobemers,4976,0.08373163,0.083899165
query1+400,query1,(2.15.0.30)-randstrobemers,4962,0.0828323,0.083899165
query1+410,query1,(2.15.0.30)-randstrobemers,4622,0.08109797,0.083899165
query1+420,query1,(2.15.0.30)-randstrobemers,4984,0.081184071,0.083899165
query1+430,query1,(2.15.0.30)-randstrobemers,4360,0.081504013,0.083899165
query1+440,query1,(2.15.0.30)-randstrobemers,4478,0.08143288,0.083899165
query1+450,query1,(2.15.0.30)-randstrobemers,4500,0.081453337,0.083899165
query1+460,query1,(2.15.0.30)-randstrobemers,4392,0.081809738,0.083899165
query1+470,query1,(2.15.0.30)-randstrobemers,4126,0.081590806,0.083899165
query1+480,query1,(2.15.0.30)-randstrobemers,3906,0.081597549,0.083899165
query1+490,query1,(2.15.0.30)-randstrobemers,4040,0.08140681,0.083899165
query1+500,query1,(2.15.0.30)-randstrobemers,3276,0.081143335,0.083899165
query1+510,query1,(2.15.0.30)-randstrobemers,3596,0.081433901,0.083899165
query1+520,query1,(2.15.0.30)-randstrobemers,3198,0.081293828,0.083899165
query1+530,query1,(2.15.0.30)-randstrobemers,3168,0.08103932,0.083899165
query1+540,query1,(2.15.0.30)-randstrobemers,3540,0.081331428,0.083899165
query1+550,query1,(2.15.0.30)-randstrobemers,2702,0.081336618,0.083899165
query1+560,query1,(2.15.0.30)-randstrobemers,3052,0.081801753,0.083899165
query1+570,query1,(2.15.0.30)-randstrobemers,2500,0.081334454,0.083899165
query1+580,query1,(2.15.0.30)-randstrobemers,2458,0.081125421,0.083899165
query1+590,query1,(2.15.0.30)-randstrobemers,2284,0.081813875,0.083899165
query1+600,query1,(2.15.0.30)-randstrobemers,2146,0.09694215,0.083899165
query1+610,query1,(2.15.0.30)-randstrobemers,2584,0.085942045,0.083899165
query1+620,query1,(2.15.0.30)-randstrobemers,2230,0.081703268,0.083899165
query1+630,query1,(2.15.0.30)-randstrobemers,2334,0.08159273,0.083899165
query1+640,query1,(2.15.0.30)-randstrobemers,1964,0.081703669,0.083899165
query1+650,query1,(2.15.0.30)-randstrobemers,1966,0.081391521,0.083899165
query1+660,query1,(2.15.0.30)-randstrobemers,2126,0.081776565,0.083899165
query1+670,query1,(2.15.0.30)-randstrobemers,1832,0.081771426,0.083899165
query1+680,query1,(2.15.0.30)-randstrobemers,1792,0.081487021,0.083899165
query1+690,query1,(2.15.0.30)-randstrobemers,1944,0.081721541,0.083899165
query1+700,query1,(2.15.0.30)-randstrobemers,1792,0.080784691,0.083899165
query1+710,query1,(2.15.0.30)-randstrobemers,1754,0.081319966,0.083899165
query1+720,query1,(2.15.0.30)-randstrobemers,1544,0.08123112,0.083899165
query1+730,query1,(2.15.0.30)-randstrobemers,1560,0.081308104,0.083899165
query1+740,query1,(2.15.0.30)-randstrobemers,1608,0.082100454,0.083899165
query1+750,query1,(2.15.0.30)-randstrobemers,1660,0.081878757,0.083899165
query1+760,query1,(2.15.0.30)-randstrobemers,1176,0.081814727,0.083899165
query1+770,query1,(2.15.0.30)-randstrobemers,1184,0.081755276,0.083899165
query1+780,query1,(2.15.0.30)-randstrobemers,1428,0.081638686,0.083899165
